Year,Ban Bang Kaeo,Ban Bang Krang,Ban Bang Phun,Ban Bang Pu Mai,Ban Chang Phuak,Ban Doi Suthep,Ban Mae Kha Tai,Ban Mangkon,Ban Rangsit,Ban Rawai,Ban Sai Ma Tai,Ban Son Loi,Ban Talat Rangsit,Bang Bon,Bang Bua Thong,Bang Kapi,Bang Khae,Bang Khen,Bang Kho Laem,Bang Khun Thian,Bang Kruai,Bang Na,Bang Phlat,Bang Phongphang,Bang Rak,Bang Sao Thong,Bang Sue,Bangkok,Bangkok Noi,Bangkok Yai,Bueng Kum,Chatuchak,Chiang Mai,Chom Thong,Chong Nonsi,Din Daeng,Don Mueang,Dusit,Huai Khwang,Khan Na Yao,Khlong Sam Wa,Khlong San,Khlong Toei,Krathum Baen,Lak Si,Lat Krabang,Lat Phrao,Min Buri,Muban Saeng Bua Thong,Nong Khaem,Nonthaburi,Pak Kret,Pathum Thani,Pathum Wan,Phasi Charoen,Phaya Thai,Phra Khanong,Phra Nakhon,Phra Nakhon Si Ayutthaya,Phra Pradaeng,Phra Samut Chedi,Phuket,Pom Prap Sattru Phai,Prawet,Rat Burana,Ratchathewi,Sai Mai,Samphanthawong,Samrong,Samut Prakan,Samut Sakhon,Saphan Sung,Sathon,Suan Luang,Taling Chan,Thanyaburi,Thawi Watthana,Thon Buri,Thung Khru,Wang Thonglang,Watthana,Yan Nawa
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,10.0,0.0,0.0,3.0,199.0,12.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,575.0,8.0,0.0,0.0,2.0,225.0,11.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,758.0,12.0,0.0,0.0,5.0,275.0,12.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,189.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,1130.0,13.0,0.0,0.0,10.0,407.0,16.0,0.0,6.0,0.0,42.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,254.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,1379.0,16.0,1.0,0.0,14.0,425.0,15.0,0.0,5.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,10.0,3.0,4.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,1.0,286.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,15.0,18.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,1623.0,16.0,2.0,0.0,23.0,576.0,17.0,2.0,3.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,14.0,3.0,6.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,1.0,357.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,21.0,23.0,0.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,0.0,1727.0,15.0,2.0,0.0,28.0,712.0,19.0,3.0,4.0,0.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,16.0,7.0,7.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,2.0,436.0,0.0,6.0,0.0,3.0,5.0,0.0,3.0,21.0,27.0,0.0,44.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,1515.0,15.0,3.0,0.0,20.0,629.0,22.0,6.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,2.0,6.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,1.0,411.0,0.0,7.0,0.0,3.0,0.0,0.0,3.0,26.0,17.0,0.0,41.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,2.0,1342.0,13.0,3.0,0.0,27.0,623.0,19.0,14.0,1.0,0.0,47.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,8.0,0.0,2.0,1.0,1.0,12.0,0.0,0.0,0.0,411.0,0.0,7.0,0.0,12.0,0.0,0.0,3.0,23.0,16.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,4.0,1325.0,14.0,4.0,0.0,25.0,633.0,19.0,12.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,4.0,3.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,433.0,0.0,5.0,0.0,13.0,3.0,0.0,1.0,21.0,12.0,0.0,41.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,7.0,1573.0,15.0,2.0,0.0,19.0,713.0,8.0,15.0,3.0,0.0,51.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,23.0,3.0,3.0,0.0,1.0,0.0,4.0,12.0,0.0,2.0,0.0,512.0,0.0,8.0,0.0,15.0,3.0,0.0,7.0,10.0,8.0,0.0,72.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,749.0,13.0,0.0,0.0,19.0,408.0,5.0,13.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,30.0,0.0,3.0,0.0,14.0,2.0,0.0,2.0,3.0,3.0,0.0,34.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,4.0,1137.0,13.0,1.0,0.0,32.0,472.0,6.0,20.0,1.0,1.0,56.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,13.0,1.0,7.0,0.0,1.0,0.0,371.0,0.0,6.0,0.0,17.0,2.0,0.0,6.0,5.0,2.0,0.0,59.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,10.0,0.0,1.0,1139.0,10.0,2.0,0.0,38.0,581.0,4.0,17.0,0.0,38.0,36.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,1.0,2.0,1.0,0.0,11.0,3.0,7.0,0.0,0.0,0.0,472.0,0.0,5.0,0.0,20.0,2.0,0.0,5.0,6.0,5.0,0.0,54.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,1.0,1059.0,9.0,2.0,0.0,33.0,479.0,1.0,15.0,0.0,20.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,9.0,2.0,8.0,0.0,0.0,0.0,431.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,4.0,3.0,0.0,43.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,3.0,990.0,7.0,2.0,0.0,52.0,493.0,2.0,18.0,0.0,36.0,19.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,9.0,4.0,7.0,0.0,0.0,0.0,465.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,24.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,823.0,2.0,2.0,0.0,28.0,362.0,1.0,0.0,0.0,8.0,28.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,546.0,0.0,1.0,0.0,20.0,1.0,0.0,2.0,30.0,22.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
